hand_category,position,stack_depth,blinds_level,villain_stack_category,opponent_action,is_3bet,action_history,final_pot_bb,hero_payoff,hero_won,showdown,hero_cards,villain_cards,timestamp,scenario_key
trash,BB,ultra_short,medium,medium,call_high,True,"[{'actor': 'villain', 'action': 'raise_small', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_small', 'is_hero': True}, {'actor': 'villain', 'action': 'call_high', 'is_hero': False}]",17.875,8.9375,True,True,[A♥] [2♦],[8♠] [7♦],2025-08-11T11:03:47.119966,trash|BB|ultra_short|medium
trash,BTN,ultra_short,low,short,call_small,False,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'call_small', 'is_hero': False}]",4.6000000000000005,2.3000000000000003,True,True,[4♠] [T♥],[7♥] [A♦],2025-08-11T11:03:47.557474,trash|BTN|ultra_short|low
trash,BB,very_deep,medium,ultra_short,call_small,False,"[{'actor': 'villain', 'action': 'call_small', 'is_hero': False}, {'actor': 'hero', 'action': 'fold', 'is_hero': True}]",2.3,-1.15,False,False,[T♦] [A♦],[9♦] [9♠],2025-08-11T11:03:47.558322,trash|BB|very_deep|medium
trash,BTN,deep,low,very_deep,call_mid,False,"[{'actor': 'hero', 'action': 'raise_small', 'is_hero': True}, {'actor': 'villain', 'action': 'call_mid', 'is_hero': False}]",24.05,12.025,True,True,[9♥] [6♦],[4♣] [2♦],2025-08-11T11:03:47.992483,trash|BTN|deep|low
trash,BTN,short,medium,very_deep,fold,False,"[{'actor': 'hero', 'action': 'raise_small', 'is_hero': True}, {'actor': 'villain', 'action': 'fold', 'is_hero': False}]",5.25,2.625,True,False,[7♥] [T♣],[2♦] [2♥],2025-08-11T11:03:47.993360,trash|BTN|short|medium
trash,BTN,medium,medium,very_deep,raise_small,False,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_small', 'is_hero': False}, {'actor': 'hero', 'action': 'call_small', 'is_hero': True}]",20.21,-10.105,False,True,[4♠] [7♣],[5♣] [3♠],2025-08-11T11:03:48.436124,trash|BTN|medium|medium
trash,BTN,very_deep,medium,ultra_short,fold,False,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'fold', 'is_hero': False}]",19.400000000000002,9.700000000000001,True,False,[5♣] [9♠],[9♥] [8♣],2025-08-11T11:03:48.447021,trash|BTN|very_deep|medium
trash,BTN,deep,high,medium,fold,True,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_high', 'is_hero': False}, {'actor': 'hero', 'action': 'raise_high', 'is_hero': True}, {'actor': 'villain', 'action': 'fold', 'is_hero': False}]",134.9,67.45,True,False,[4♣] [2♦],[4♠] [6♥],2025-08-11T11:03:48.447779,trash|BTN|deep|high
trash,BTN,medium,medium,very_deep,raise_mid,True,"[{'actor': 'hero', 'action': 'raise_mid', 'is_hero': True}, {'actor': 'villain', 'action': 'raise_mid', 'is_hero': False}, {'actor': 'hero', 'action': 'fold', 'is_hero': True}]",24.0,-12.0,False,False,[9♥] [3♣],[7♠] [9♠],2025-08-11T11:03:48.448417,trash|BTN|medium|medium
trash,BTN,deep,low,very_deep,call_small,False,"[{'actor': 'hero', 'action': 'call_small', 'is_hero': True}, {'actor': 'villain', 'action': 'call_small', 'is_hero': False}]",25.7,-12.85,False,True,[6♦] [8♣],[5♣] [A♠],2025-08-11T11:03:48.877122,trash|BTN|deep|low
