scenario_key,hand_category,example_hands,position,stack_depth,bet_size_category,training_games,best_action,confidence,fold_prob,call_small_prob,call_mid_prob,call_high_prob,raise_small_prob,raise_mid_prob,raise_high_prob
suited_gappers_BTN_short_huge,suited,,gappers,BTN,short,7,FOLD,0.848,0.848,0.0,0.0,0.152,0.0,0.0,0.0
small_pairs_BB_deep_tiny,small,,pairs,BB,deep,5,CALL_SMALL,0.678,0.04,0.678,0.0,0.0,0.04,0.04,0.202
small_pairs_BB_medium_small,small,,pairs,BB,medium,6,CALL_SMALL,0.606,0.235,0.606,0.0,0.0,0.092,0.033,0.033
premium_aces_BTN_ultra_short_no_bet,premium,,aces,BTN,ultra,3,RAISE_HIGH,0.548,0.083,0.0,0.0,0.0,0.114,0.255,0.548
weak_aces_BB_very_deep_tiny,weak,,aces,BB,very,5,RAISE_HIGH,0.523,0.04,0.04,0.0,0.0,0.226,0.171,0.523
suited_gappers_BB_deep_tiny,suited,,gappers,BB,deep,5,CALL_SMALL,0.518,0.04,0.518,0.0,0.0,0.086,0.132,0.224
offsuit_broadway_BB_deep_tiny,offsuit,,broadway,BB,deep,9,RAISE_HIGH,0.501,0.022,0.022,0.0,0.0,0.19,0.265,0.501
suited_broadway_BB_ultra_short_small,suited,,broadway,BB,ultra,7,FOLD,0.497,0.497,0.382,0.0,0.0,0.029,0.063,0.029
trash_BTN_very_deep_tiny,trash,"72o, 83o, 94o",BTN,very,deep,6,CALL_SMALL,0.465,0.033,0.465,0.0,0.0,0.302,0.033,0.167
medium_pairs_BTN_medium_no_bet,medium,,pairs,BTN,medium,6,RAISE_HIGH,0.45,0.042,0.0,0.0,0.0,0.115,0.393,0.45
suited_broadway_BB_medium_tiny,suited,,broadway,BB,medium,2,RAISE_HIGH,0.433,0.1,0.1,0.0,0.0,0.1,0.267,0.433
offsuit_broadway_BB_short_tiny,offsuit,,broadway,BB,short,6,RAISE_HIGH,0.408,0.033,0.033,0.0,0.0,0.169,0.356,0.408
premium_pairs_BB_deep_tiny,premium,,pairs,BB,deep,5,RAISE_MID,0.389,0.04,0.04,0.0,0.0,0.157,0.389,0.374
medium_aces_BTN_deep_no_bet,medium,,aces,BTN,deep,5,RAISE_HIGH,0.36,0.2,0.0,0.0,0.0,0.24,0.2,0.36
premium_aces_BB_very_deep_tiny,premium,,aces,BB,very,7,RAISE_HIGH,0.352,0.057,0.057,0.0,0.0,0.246,0.287,0.352
medium_aces_BB_deep_tiny,medium,,aces,BB,deep,6,RAISE_HIGH,0.347,0.033,0.261,0.0,0.0,0.142,0.216,0.347
medium_pairs_BTN_very_deep_no_bet,medium,,pairs,BTN,very,5,FOLD,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25
suited_connectors_BTN_short_no_bet,suited,,connectors,BTN,short,2,FOLD,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25
suited_connectors_BTN_very_deep_no_bet,suited,,connectors,BTN,very,2,FOLD,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25
premium_pairs_BB_ultra_short_large,premium,,pairs,BB,ultra,1,FOLD,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2
