scenario,action,probability
[K♥] [Q♠]|medium,fold,0.2
[K♥] [Q♠]|medium,call_small,0.2
[K♥] [Q♠]|medium,raise_small,0.2
[K♥] [Q♠]|medium,raise_mid,0.2
[K♥] [Q♠]|medium,raise_high,0.2
[8♠] [9♠]|medium,fold,0.2
[8♠] [9♠]|medium,call_small,0.2
[8♠] [9♠]|medium,raise_small,0.2
[8♠] [9♠]|medium,raise_mid,0.2
[8♠] [9♠]|medium,raise_high,0.2
[Q♣] [8♣]|medium,fold,0.2
[Q♣] [8♣]|medium,call_small,0.2
[Q♣] [8♣]|medium,raise_small,0.2
[Q♣] [8♣]|medium,raise_mid,0.2
[Q♣] [8♣]|medium,raise_high,0.2
[7♥] [5♥]|medium,fold,0.2
[7♥] [5♥]|medium,call_small,0.2
[7♥] [5♥]|medium,raise_small,0.2
[7♥] [5♥]|medium,raise_mid,0.2
[7♥] [5♥]|medium,raise_high,0.2
[7♣] [6♠]|medium,fold,0.2
[7♣] [6♠]|medium,call_small,0.2
[7♣] [6♠]|medium,raise_small,0.2
[7♣] [6♠]|medium,raise_mid,0.2
[7♣] [6♠]|medium,raise_high,0.2
[5♥] [3♦]|medium,fold,0.2
[5♥] [3♦]|medium,call_small,0.2
[5♥] [3♦]|medium,raise_small,0.2
[5♥] [3♦]|medium,raise_mid,0.2
[5♥] [3♦]|medium,raise_high,0.2
[7♦] [T♣]|medium,fold,0.2
[7♦] [T♣]|medium,call_small,0.2
[7♦] [T♣]|medium,raise_small,0.2
[7♦] [T♣]|medium,raise_mid,0.2
[7♦] [T♣]|medium,raise_high,0.2
[3♠] [3♣]|medium,fold,0.2
[3♠] [3♣]|medium,call_small,0.2
[3♠] [3♣]|medium,raise_small,0.2
[3♠] [3♣]|medium,raise_mid,0.2
[3♠] [3♣]|medium,raise_high,0.2
[J♥] [A♥]|medium,fold,0.2
[J♥] [A♥]|medium,call_small,0.2
[J♥] [A♥]|medium,raise_small,0.2
[J♥] [A♥]|medium,raise_mid,0.2
[J♥] [A♥]|medium,raise_high,0.2
[5♥] [9♦]|medium,fold,0.2
[5♥] [9♦]|medium,call_small,0.2
[5♥] [9♦]|medium,raise_small,0.2
[5♥] [9♦]|medium,raise_mid,0.2
[5♥] [9♦]|medium,raise_high,0.2
[3♥] [K♦]|medium,fold,0.2
[3♥] [K♦]|medium,call_small,0.2
[3♥] [K♦]|medium,raise_small,0.2
[3♥] [K♦]|medium,raise_mid,0.2
[3♥] [K♦]|medium,raise_high,0.2
[4♣] [Q♠]|medium,fold,0.2
[4♣] [Q♠]|medium,call_small,0.2
[4♣] [Q♠]|medium,raise_small,0.2
[4♣] [Q♠]|medium,raise_mid,0.2
[4♣] [Q♠]|medium,raise_high,0.2
[K♣] [5♥]|medium,fold,0.2
[K♣] [5♥]|medium,call_small,0.2
[K♣] [5♥]|medium,raise_small,0.2
[K♣] [5♥]|medium,raise_mid,0.2
[K♣] [5♥]|medium,raise_high,0.2
[8♦] [2♠]|medium,fold,0.2
[8♦] [2♠]|medium,call_small,0.2
[8♦] [2♠]|medium,raise_small,0.2
[8♦] [2♠]|medium,raise_mid,0.2
[8♦] [2♠]|medium,raise_high,0.2
