scenario_key,hand_category,position,stack_depth,blinds_level,training_games,best_action,confidence,fold_prob,call_small_prob,call_mid_prob,call_high_prob,raise_small_prob,raise_mid_prob,raise_high_prob
trash|BB|deep|low,trash,BB,deep,low,0,FOLD,0.551,0.551,0.282,0.0,0.0,0.167,0.0,0.0
trash|BTN|very_deep|low,trash,BTN,very_deep,low,5,RAISE_MID,0.433,0.1,0.1,0.0,0.0,0.267,0.433,0.1
trash|BTN|very_deep|high,trash,BTN,very_deep,high,0,CALL_SMALL,0.386,0.048,0.386,0.048,0.048,0.376,0.048,0.048
trash|BTN|deep|low,trash,BTN,deep,low,1,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BTN|ultra_short|medium,trash,BTN,ultra_short,medium,0,FOLD,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0
trash|BB|very_deep|medium,trash,BB,very_deep,medium,1,CALL_SMALL,0.321,0.071,0.321,0.238,0.155,0.071,0.071,0.071
trash|BTN|medium|medium,trash,BTN,medium,medium,1,FOLD,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0
trash|BB|medium|medium,trash,BB,medium,medium,1,FOLD,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2
trash|BTN|deep|high,trash,BTN,deep,high,0,FOLD,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2
trash|BB|very_deep|low,trash,BB,very_deep,low,2,FOLD,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
